Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
1,Exit short,2024-01-16 23:00,MR TP1 | IN:MR | OUT:TREND,2033.54,0.2,410.095,3.39,0.83,0,3.9,0.95,-0.22,-0.05,3.39,0.00,14
1,Entry short,2024-01-16 09:00,MR-S | IN:MR,2050.475,0.2,410.095,3.39,0.83,0,3.9,0.95,-0.22,-0.05,3.39,0.00,14
2,Exit short,2024-01-18 13:00,RUN EXIT | IN:MR | OUT:MR,2012.664,0.8,1640.38,30.25,1.84,0,39.1,2.38,-0.9,-0.05,33.64,0.03,50
2,Entry short,2024-01-16 09:00,MR-S | IN:MR,2050.475,0.8,1640.38,30.25,1.84,0,39.1,2.38,-0.9,-0.05,33.64,0.03,50
3,Exit short,2024-01-23 08:00,MR TP1 | IN:MR | OUT:HYBRID,2021.68,0.2,404.178,-0.16,-0.04,0,0.89,0.22,-1.85,-0.46,33.48,0.03,18
3,Entry short,2024-01-22 13:00,MR-S | IN:MR,2020.89,0.2,404.178,-0.16,-0.04,0,0.89,0.22,-1.85,-0.46,33.48,0.03,18
4,Exit short,2024-01-23 13:00,RUN EXIT | IN:MR | OUT:MR,2034.6,0.8,1616.712,-10.97,-0.68,0,3.55,0.22,-12,-0.74,22.51,0.02,23
4,Entry short,2024-01-22 13:00,MR-S | IN:MR,2020.89,0.8,1616.712,-10.97,-0.68,0,3.55,0.22,-12,-0.74,22.51,0.02,23
5,Exit short,2024-01-24 02:00,MR FAIL | IN:MR | OUT:MR,2029.91,1,2024.3,-5.61,-0.28,0,1.8,0.09,-6.38,-0.32,16.9,0.02,2
5,Entry short,2024-01-24 00:00,MR-S | IN:MR,2024.3,1,2024.3,-5.61,-0.28,0,1.8,0.09,-6.38,-0.32,16.9,0.02,2
6,Exit short,2024-01-24 15:00,MR FAIL | IN:MR | OUT:MR,2030.875,1,2024.45,-6.42,-0.32,0,2.05,0.10,-7.79,-0.38,10.47,0.01,4
6,Entry short,2024-01-24 11:00,MR-S | IN:MR,2024.45,1,2024.45,-6.42,-0.32,0,2.05,0.10,-7.79,-0.38,10.47,0.01,4
7,Exit short,2024-01-25 01:00,MR TP1 | IN:HYBRID | OUT:MR,2015.07,0.2,403.058,0.04,0.01,0,0.76,0.19,-0.91,-0.23,10.52,0.01,3
7,Entry short,2024-01-24 22:00,MR-S | IN:HYBRID,2015.29,0.2,403.058,0.04,0.01,0,0.76,0.19,-0.91,-0.23,10.52,0.01,3
8,Exit short,2024-01-25 22:00,RUN EXIT | IN:HYBRID | OUT:MR,2020.264,0.8,1612.232,-3.98,-0.25,0,5.03,0.31,-7.94,-0.49,6.54,0.01,23
8,Entry short,2024-01-24 22:00,MR-S | IN:HYBRID,2015.29,0.8,1612.232,-3.98,-0.25,0,5.03,0.31,-7.94,-0.49,6.54,0.01,23
9,Exit long,2024-01-29 09:00,MR TP1 | IN:MR | OUT:MR,2025.373,0.2,404.3668,0.71,0.18,0,0.74,0.18,-0.59,-0.15,7.25,0.01,3
9,Entry long,2024-01-29 06:00,MR-L | IN:MR,2021.834,0.2,404.3668,0.71,0.18,0,0.74,0.18,-0.59,-0.15,7.25,0.01,3
10,Exit long,2024-01-31 08:00,RUN EXIT | IN:MR | OUT:MR,2034.61,0.8,1617.4672,10.22,0.63,0,21.43,1.32,-2.35,-0.15,17.47,0.02,48
10,Entry long,2024-01-29 06:00,MR-L | IN:MR,2021.834,0.8,1617.4672,10.22,0.63,0,21.43,1.32,-2.35,-0.15,17.47,0.02,48
11,Exit short,2024-02-02 00:00,MR FAIL | IN:MR | OUT:MR,2054.434,1,2041.013,-13.42,-0.66,0,11.21,0.55,-24.59,-1.20,4.05,0.00,8
11,Entry short,2024-02-01 16:00,MR-S | IN:MR,2041.013,1,2041.013,-13.42,-0.66,0,11.21,0.55,-24.59,-1.20,4.05,0.00,8
12,Exit short,2024-02-05 06:00,MR TP1 | IN:TREND | OUT:TREND,2039.32,0.2,406.3408,-1.52,-0.37,0,0.82,0.20,-2.1,-0.52,2.52,0.00,9
12,Entry short,2024-02-02 20:00,MR-S | IN:TREND,2031.704,0.2,406.3408,-1.52,-0.37,0,0.82,0.20,-2.1,-0.52,2.52,0.00,9
13,Exit short,2024-02-06 09:00,RUN EXIT | IN:TREND | OUT:MR,2025.952,0.8,1625.3632,4.6,0.28,0,13.76,0.85,-8.41,-0.52,7.13,0.01,35
13,Entry short,2024-02-02 20:00,MR-S | IN:TREND,2031.704,0.8,1625.3632,4.6,0.28,0,13.76,0.85,-8.41,-0.52,7.13,0.01,35
14,Exit short,2024-02-08 20:00,MR TP1 | IN:MR | OUT:MR,2021.026,0.2,406.69,2.48,0.61,0,2.59,0.64,-1.01,-0.25,9.61,0.01,8
14,Entry short,2024-02-08 12:00,MR-S | IN:MR,2033.45,0.2,406.69,2.48,0.61,0,2.59,0.64,-1.01,-0.25,9.61,0.01,8
15,Exit short,2024-02-09 13:00,RUN EXIT | IN:MR | OUT:MR,2033.793,0.8,1626.76,-0.27,-0.02,0,10.84,0.67,-4.04,-0.25,9.34,0.01,24
15,Entry short,2024-02-08 12:00,MR-S | IN:MR,2033.45,0.8,1626.76,-0.27,-0.02,0,10.84,0.67,-4.04,-0.25,9.34,0.01,24
16,Exit long,2024-02-13 21:00,MR FAIL | IN:MR | OUT:TREND,1995.67,1,2018.914,-23.24,-1.15,0,13.93,0.69,-26.51,-1.31,-13.91,-0.01,12
16,Entry long,2024-02-13 09:00,MR-L | IN:MR,2018.914,1,2018.914,-23.24,-1.15,0,13.93,0.69,-26.51,-1.31,-13.91,-0.01,12
17,Exit long,2024-02-16 07:00,MR TP1 | IN:TREND | OUT:TREND,2002.428,0.2,398.0448,2.44,0.61,0,3.61,0.91,-1.23,-0.31,-11.47,-0.01,34
17,Entry long,2024-02-14 19:00,MR-L | IN:TREND,1990.224,0.2,398.0448,2.44,0.61,0,3.61,0.91,-1.23,-0.31,-11.47,-0.01,34
18,Exit long,2024-02-20 02:00,RUN EXIT | IN:TREND | OUT:MR,2017.77,0.8,1592.1792,22.04,1.38,0,26.2,1.65,-4.91,-0.31,10.57,0.01,76
18,Entry long,2024-02-14 19:00,MR-L | IN:TREND,1990.224,0.8,1592.1792,22.04,1.38,0,26.2,1.65,-4.91,-0.31,10.57,0.01,76
19,Exit short,2024-02-23 09:00,MR TP1 | IN:MR | OUT:MR,2024.35,0.2,404.805,-0.06,-0.02,0,0.89,0.22,-2.17,-0.54,10.5,0.01,33
19,Entry short,2024-02-21 22:00,MR-S | IN:MR,2024.025,0.2,404.805,-0.06,-0.02,0,0.89,0.22,-2.17,-0.54,10.5,0.01,33
20,Exit short,2024-02-23 23:00,RUN EXIT | IN:MR | OUT:MR,2038.3,0.8,1619.22,-11.42,-0.71,0,6.46,0.40,-11.64,-0.72,-0.92,0.00,47
20,Entry short,2024-02-21 22:00,MR-S | IN:MR,2024.025,0.8,1619.22,-11.42,-0.71,0,6.46,0.40,-11.64,-0.72,-0.92,0.00,47
21,Exit short,2024-02-27 14:00,MR FAIL | IN:MR | OUT:MR,2035.326,1,2027.405,-7.92,-0.39,0,2.43,0.12,-8.85,-0.44,-8.84,-0.01,16
21,Entry short,2024-02-26 21:00,MR-S | IN:MR,2027.405,1,2027.405,-7.92,-0.39,0,2.43,0.12,-8.85,-0.44,-8.84,-0.01,16
22,Exit short,2024-02-28 14:00,MR TP1 | IN:MR | OUT:HYBRID,2028.053,0.2,406.442,0.83,0.20,0,0.96,0.24,-0.31,-0.08,-8.01,-0.01,12
22,Entry short,2024-02-28 01:00,MR-S | IN:MR,2032.21,0.2,406.442,0.83,0.20,0,0.96,0.24,-0.31,-0.08,-8.01,-0.01,12
23,Exit short,2024-02-29 03:00,RUN EXIT | IN:MR | OUT:MR,2033.645,0.8,1625.768,-1.15,-0.07,0,6.49,0.40,-4.54,-0.28,-9.15,-0.01,25
23,Entry short,2024-02-28 01:00,MR-S | IN:MR,2032.21,0.8,1625.768,-1.15,-0.07,0,6.49,0.40,-4.54,-0.28,-9.15,-0.01,25
24,Exit short,2024-03-05 01:00,MR FAIL | IN:TREND | OUT:TREND,2115.275,1,2087.295,-27.98,-1.34,0,6.28,0.30,-32.59,-1.56,-37.13,-0.04,11
24,Entry short,2024-03-04 14:00,MR-S | IN:TREND,2087.295,1,2087.295,-27.98,-1.34,0,6.28,0.30,-32.59,-1.56,-37.13,-0.04,11
25,Exit short,2024-03-06 21:00,MR FAIL | IN:TREND | OUT:MR,2144.875,1,2112.875,-32,-1.51,0,0.57,0.03,-36.33,-1.72,-69.13,-0.07,34
25,Entry short,2024-03-05 10:00,MR-S | IN:TREND,2112.875,1,2112.875,-32,-1.51,0,0.57,0.03,-36.33,-1.72,-69.13,-0.07,34
26,Exit short,2024-03-08 20:00,MR FAIL | IN:HYBRID | OUT:HYBRID,2171.13,1,2153.85,-17.28,-0.80,0,4.75,0.22,-31.51,-1.46,-86.41,-0.09,22
26,Entry short,2024-03-07 21:00,MR-S | IN:HYBRID,2153.85,1,2153.85,-17.28,-0.80,0,4.75,0.22,-31.51,-1.46,-86.41,-0.09,22
27,Exit long,2024-03-11 18:00,TF EXIT | IN:HYBRID | OUT:MR,2178.93,1,2171.13,7.8,0.36,0,24.02,1.11,-7.43,-0.34,-78.61,-0.08,22
27,Entry long,2024-03-08 20:00,TF-L | IN:HYBRID,2171.13,1,2171.13,7.8,0.36,0,24.02,1.11,-7.43,-0.34,-78.61,-0.08,22
28,Exit short,2024-03-13 00:00,MR TP1 | IN:MR | OUT:TREND,2154.923,0.2,435.786,4.8,1.10,0,5.28,1.21,-1.35,-0.31,-73.81,-0.07,29
28,Entry short,2024-03-11 18:00,MR-S | IN:MR,2178.93,0.2,435.786,4.8,1.10,0,5.28,1.21,-1.35,-0.31,-73.81,-0.07,29
29,Exit short,2024-03-13 21:00,RUN EXIT | IN:MR | OUT:MR,2168.755,0.8,1743.144,8.14,0.47,0,22.78,1.31,-5.41,-0.31,-65.67,-0.07,49
29,Entry short,2024-03-11 18:00,MR-S | IN:MR,2178.93,0.8,1743.144,8.14,0.47,0,22.78,1.31,-5.41,-0.31,-65.67,-0.07,49
30,Exit short,2024-03-14 21:00,MR TP1 | IN:MR | OUT:MR,2161.943,0.2,432.51,0.12,0.03,0,1.05,0.24,-0.25,-0.06,-65.55,-0.07,1
30,Entry short,2024-03-14 20:00,MR-S | IN:MR,2162.55,0.2,432.51,0.12,0.03,0,1.05,0.24,-0.25,-0.06,-65.55,-0.07,1
31,Exit short,2024-03-15 14:00,RUN EXIT | IN:MR | OUT:MR,2166.972,0.8,1730.04,-3.54,-0.20,0,8.12,0.47,-6.02,-0.35,-69.09,-0.07,17
31,Entry short,2024-03-14 20:00,MR-S | IN:MR,2162.55,0.8,1730.04,-3.54,-0.20,0,8.12,0.47,-6.02,-0.35,-69.09,-0.07,17
32,Exit long,2024-03-19 20:00,MR FAIL | IN:MR | OUT:MR,2151.3,1,2158.45,-7.15,-0.33,0,4.39,0.20,-11.55,-0.54,-76.24,-0.08,22
32,Entry long,2024-03-18 21:00,MR-L | IN:MR,2158.45,1,2158.45,-7.15,-0.33,0,4.39,0.20,-11.55,-0.54,-76.24,-0.08,22
33,Exit long,2024-03-21 01:00,MR TP1 | IN:MR | OUT:MR,2181.725,0.2,431.7266,4.62,1.07,0,5.01,1.16,-1.89,-0.44,-71.62,-0.07,20
33,Entry long,2024-03-20 05:00,MR-L | IN:MR,2158.633,0.2,431.7266,4.62,1.07,0,5.01,1.16,-1.89,-0.44,-71.62,-0.07,20
34,Exit long,2024-03-21 22:00,RUN EXIT | IN:MR | OUT:TREND,2174.633,0.8,1726.9064,12.8,0.74,0,51.42,2.98,-7.55,-0.44,-58.82,-0.06,40
34,Entry long,2024-03-20 05:00,MR-L | IN:MR,2158.633,0.8,1726.9064,12.8,0.74,0,51.42,2.98,-7.55,-0.44,-58.82,-0.06,40
35,Exit long,2024-03-26 16:00,MR TP1 | IN:MR | OUT:MR,2190.852,0.2,435.405,2.77,0.64,0,3.64,0.84,-1.96,-0.45,-56.05,-0.06,19
35,Entry long,2024-03-25 20:00,MR-L | IN:MR,2177.025,0.2,435.405,2.77,0.64,0,3.64,0.84,-1.96,-0.45,-56.05,-0.06,19
36,Exit long,2024-03-27 13:00,RUN EXIT | IN:MR | OUT:MR,2177.7,0.8,1741.62,0.54,0.03,0,18.47,1.06,-7.86,-0.45,-55.51,-0.06,39
36,Entry long,2024-03-25 20:00,MR-L | IN:MR,2177.025,0.8,1741.62,0.54,0.03,0,18.47,1.06,-7.86,-0.45,-55.51,-0.06,39
37,Exit short,2024-04-03 02:00,MR FAIL | IN:TREND | OUT:HYBRID,2277.45,1,2246.734,-30.72,-1.37,0,18.73,0.83,-32.61,-1.45,-86.23,-0.09,31
37,Entry short,2024-04-01 18:00,MR-S | IN:TREND,2246.734,1,2246.734,-30.72,-1.37,0,18.73,0.83,-32.61,-1.45,-86.23,-0.09,31
38,Exit long,2024-04-03 19:00,TF EXIT | IN:HYBRID | OUT:MR,2274.92,1,2277.45,-2.53,-0.11,0,10.88,0.48,-12.15,-0.53,-88.76,-0.09,16
38,Entry long,2024-04-03 02:00,TF-L | IN:HYBRID,2277.45,1,2277.45,-2.53,-0.11,0,10.88,0.48,-12.15,-0.53,-88.76,-0.09,16
39,Exit short,2024-04-03 23:00,MR FAIL | IN:MR | OUT:HYBRID,2293.808,1,2274.92,-18.89,-0.83,0,3.39,0.15,-20.26,-0.89,-107.65,-0.11,4
39,Entry short,2024-04-03 19:00,MR-S | IN:MR,2274.92,1,2274.92,-18.89,-0.83,0,3.39,0.15,-20.26,-0.89,-107.65,-0.11,4
40,Exit short,2024-04-05 23:00,MR FAIL | IN:MR | OUT:MR,2327.075,1,2287.502,-39.57,-1.73,0,20.2,0.88,-41.98,-1.84,-147.22,-0.15,26
40,Entry short,2024-04-04 20:00,MR-S | IN:MR,2287.502,1,2287.502,-39.57,-1.73,0,20.2,0.88,-41.98,-1.84,-147.22,-0.15,26
41,Exit short,2024-04-09 15:00,MR FAIL | IN:MR | OUT:MR,2357.473,1,2338.835,-18.64,-0.80,0,2.44,0.10,-20.45,-0.87,-165.86,-0.17,13
41,Entry short,2024-04-09 01:00,MR-S | IN:MR,2338.835,1,2338.835,-18.64,-0.80,0,2.44,0.10,-20.45,-0.87,-165.86,-0.17,13
42,Exit short,2024-04-11 07:00,MR TP1 | IN:TREND | OUT:MR,2335.21,0.2,468.108,1.07,0.23,0,4.26,0.91,-3.91,-0.83,-164.79,-0.16,31
42,Entry short,2024-04-09 22:00,MR-S | IN:TREND,2340.54,0.2,468.108,1.07,0.23,0,4.26,0.91,-3.91,-0.83,-164.79,-0.16,31
43,Exit short,2024-04-12 00:00,RUN EXIT | IN:TREND | OUT:HYBRID,2356.201,0.8,1872.432,-12.53,-0.67,0,17.02,0.91,-15.62,-0.83,-177.32,-0.18,48
43,Entry short,2024-04-09 22:00,MR-S | IN:TREND,2340.54,0.8,1872.432,-12.53,-0.67,0,17.02,0.91,-15.62,-0.83,-177.32,-0.18,48
44,Exit short,2024-04-15 16:00,MR TP1 | IN:MR | OUT:MR,2349.67,0.2,467.7462,-2.19,-0.47,0,1,0.21,-6.81,-1.46,-179.51,-0.18,14
44,Entry short,2024-04-13 01:00,MR-S | IN:MR,2338.731,0.2,467.7462,-2.19,-0.47,0,1,0.21,-6.81,-1.46,-179.51,-0.18,14
45,Exit short,2024-04-16 05:00,RUN EXIT | IN:MR | OUT:MR,2384.35,0.8,1870.9848,-36.5,-1.95,0,11.9,0.64,-42.74,-2.28,-216,-0.22,26
45,Entry short,2024-04-13 01:00,MR-S | IN:MR,2338.731,0.8,1870.9848,-36.5,-1.95,0,11.9,0.64,-42.74,-2.28,-216,-0.22,26
46,Exit short,2024-04-18 07:00,MR TP1 | IN:MR | OUT:MR,2369.76,0.2,474.472,0.52,0.11,0,3.61,0.76,-1.35,-0.28,-215.48,-0.22,7
46,Entry short,2024-04-17 23:00,MR-S | IN:MR,2372.36,0.2,474.472,0.52,0.11,0,3.61,0.76,-1.35,-0.28,-215.48,-0.22,7
47,Exit short,2024-04-18 19:00,RUN EXIT | IN:MR | OUT:MR,2385.35,0.8,1897.888,-10.39,-0.55,0,14.44,0.76,-12.12,-0.64,-225.88,-0.23,19
47,Entry short,2024-04-17 23:00,MR-S | IN:MR,2372.36,0.8,1897.888,-10.39,-0.55,0,14.44,0.76,-12.12,-0.64,-225.88,-0.23,19
48,Exit short,2024-04-19 22:00,MR FAIL | IN:MR | OUT:MR,2394.765,1,2376.751,-18.01,-0.76,0,3.76,0.16,-19.26,-0.81,-243.89,-0.24,4
48,Entry short,2024-04-19 18:00,MR-S | IN:MR,2376.751,1,2376.751,-18.01,-0.76,0,3.76,0.16,-19.26,-0.81,-243.89,-0.24,4
49,Exit short,2024-04-22 12:00,MR TP1 | IN:MR | OUT:MR,2365.425,0.2,475.606,2.52,0.53,0,3.46,0.73,-0.01,0.00,-241.37,-0.24,4
49,Entry short,2024-04-22 08:00,MR-S | IN:MR,2378.03,0.2,475.606,2.52,0.53,0,3.46,0.73,-0.01,0.00,-241.37,-0.24,4
50,Exit short,2024-04-23 18:00,RUN EXIT | IN:MR | OUT:HYBRID,2302.14,0.8,1902.424,60.71,3.19,0,69.41,3.65,-0.06,0.00,-180.66,-0.18,33
50,Entry short,2024-04-22 08:00,MR-S | IN:MR,2378.03,0.8,1902.424,60.71,3.19,0,69.41,3.65,-0.06,0.00,-180.66,-0.18,33
51,Exit short,2024-04-29 23:00,MR FAIL | IN:MR | OUT:MR,2342.681,1,2332.06,-10.62,-0.46,0,12.2,0.52,-14.7,-0.63,-191.28,-0.19,16
51,Entry short,2024-04-29 07:00,MR-S | IN:MR,2332.06,1,2332.06,-10.62,-0.46,0,12.2,0.52,-14.7,-0.63,-191.28,-0.19,16
52,Exit short,2024-04-30 12:00,MR TP1 | IN:MR | OUT:MR,2323.001,0.2,466.6182,2.02,0.43,0,2.36,0.51,-0.62,-0.13,-189.26,-0.19,6
52,Entry short,2024-04-30 06:00,MR-S | IN:MR,2333.091,0.2,466.6182,2.02,0.43,0,2.36,0.51,-0.62,-0.13,-189.26,-0.19,6
53,Exit short,2024-05-01 16:00,RUN EXIT | IN:MR | OUT:TREND,2291.93,0.8,1866.4728,32.93,1.76,0,41.43,2.22,-2.47,-0.13,-156.33,-0.16,33
53,Entry short,2024-04-30 06:00,MR-S | IN:MR,2333.091,0.8,1866.4728,32.93,1.76,0,41.43,2.22,-2.47,-0.13,-156.33,-0.16,33
54,Exit long,2024-05-03 18:00,MR FAIL | IN:MR | OUT:MR,2298.215,1,2307.42,-9.2,-0.40,0,1.34,0.06,-11.22,-0.49,-165.54,-0.17,7
54,Entry long,2024-05-03 11:00,MR-L | IN:MR,2307.42,1,2307.42,-9.2,-0.40,0,1.34,0.06,-11.22,-0.49,-165.54,-0.17,7
55,Exit long,2024-05-03 20:00,MR FAIL | IN:MR | OUT:MR,2289.7,1,2304.685,-14.98,-0.65,0,4.26,0.19,-27.6,-1.20,-180.52,-0.18,1
55,Entry long,2024-05-03 19:00,MR-L | IN:MR,2304.685,1,2304.685,-14.98,-0.65,0,4.26,0.19,-27.6,-1.20,-180.52,-0.18,1
56,Exit long,2024-05-06 13:00,MR TP1 | IN:MR | OUT:MR,2314.122,0.2,462.2002,0.62,0.14,0,0.77,0.17,-0.62,-0.13,-179.9,-0.18,4
56,Entry long,2024-05-06 09:00,MR-L | IN:MR,2311.001,0.2,462.2002,0.62,0.14,0,0.77,0.17,-0.62,-0.13,-179.9,-0.18,4
57,Exit long,2024-05-07 14:00,RUN EXIT | IN:MR | OUT:MR,2319.302,0.8,1848.8008,6.64,0.36,0,16.96,0.92,-2.48,-0.13,-173.26,-0.17,28
57,Entry long,2024-05-06 09:00,MR-L | IN:MR,2311.001,0.8,1848.8008,6.64,0.36,0,16.96,0.92,-2.48,-0.13,-173.26,-0.17,28
58,Exit long,2024-05-09 21:00,MR TP1 | IN:MR | OUT:MR,2333.311,0.2,465.319,1.34,0.29,0,2.44,0.52,-2.93,-0.63,-171.91,-0.17,2
58,Entry long,2024-05-09 19:00,MR-L | IN:MR,2326.595,0.2,465.319,1.34,0.29,0,2.44,0.52,-2.93,-0.63,-171.91,-0.17,2
59,Exit long,2024-05-11 01:00,RUN EXIT | IN:MR | OUT:HYBRID,2367.271,0.8,1861.276,32.54,1.75,0,41.48,2.23,-11.7,-0.63,-139.37,-0.14,29
59,Entry long,2024-05-09 19:00,MR-L | IN:MR,2326.595,0.8,1861.276,32.54,1.75,0,41.48,2.23,-11.7,-0.63,-139.37,-0.14,29
60,Exit long,2024-05-15 02:00,MR TP1 | IN:HYBRID | OUT:HYBRID,2356.505,0.2,470.602,0.7,0.15,0,1.34,0.29,-1.38,-0.29,-138.67,-0.14,5
60,Entry long,2024-05-14 21:00,MR-L | IN:HYBRID,2353.01,0.2,470.602,0.7,0.15,0,1.34,0.29,-1.38,-0.29,-138.67,-0.14,5
61,Exit long,2024-05-16 19:00,RUN EXIT | IN:HYBRID | OUT:MR,2379.065,0.8,1882.408,20.84,1.11,0,35.5,1.89,-5.53,-0.29,-117.83,-0.12,44
61,Entry long,2024-05-14 21:00,MR-L | IN:HYBRID,2353.01,0.8,1882.408,20.84,1.11,0,35.5,1.89,-5.53,-0.29,-117.83,-0.12,44
62,Exit short,2024-05-22 17:00,MR TP1 | IN:MR | OUT:MR,2414.676,0.2,484.5846,1.65,0.34,0,3.36,0.69,-2.89,-0.60,-116.18,-0.12,42
62,Entry short,2024-05-20 21:00,MR-S | IN:MR,2422.923,0.2,484.5846,1.65,0.34,0,3.36,0.69,-2.89,-0.60,-116.18,-0.12,42
63,Exit short,2024-05-24 15:00,RUN EXIT | IN:MR | OUT:HYBRID,2340.18,0.8,1938.3384,66.19,3.42,0,78.18,4.03,-11.56,-0.60,-49.99,-0.05,86
63,Entry short,2024-05-20 21:00,MR-S | IN:MR,2422.923,0.8,1938.3384,66.19,3.42,0,78.18,4.03,-11.56,-0.60,-49.99,-0.05,86
64,Exit short,2024-05-29 22:00,MR TP1 | IN:MR | OUT:HYBRID,2339.041,0.2,469.125,1.32,0.28,0,2.24,0.48,-0.35,-0.08,-48.67,-0.05,6
64,Entry short,2024-05-29 16:00,MR-S | IN:MR,2345.625,0.2,469.125,1.32,0.28,0,2.24,0.48,-0.35,-0.08,-48.67,-0.05,6
65,Exit short,2024-05-30 22:00,RUN EXIT | IN:MR | OUT:MR,2343.811,0.8,1876.5,1.45,0.08,0,18.53,0.99,-4.96,-0.26,-47.22,-0.05,29
65,Entry short,2024-05-29 16:00,MR-S | IN:MR,2345.625,0.8,1876.5,1.45,0.08,0,18.53,0.99,-4.96,-0.26,-47.22,-0.05,29
66,Exit long,2024-06-04 05:00,MR TP1 | IN:MR | OUT:TREND,2350.74,0.2,468.3248,1.82,0.39,0,2.63,0.56,-1.3,-0.28,-45.39,-0.05,7
66,Entry long,2024-06-03 21:00,MR-L | IN:MR,2341.624,0.2,468.3248,1.82,0.39,0,2.63,0.56,-1.3,-0.28,-45.39,-0.05,7
67,Exit long,2024-06-04 18:00,RUN EXIT | IN:MR | OUT:MR,2327.951,0.8,1873.2992,-10.94,-0.58,0,10.52,0.56,-13.38,-0.71,-56.33,-0.06,20
67,Entry long,2024-06-03 21:00,MR-L | IN:MR,2341.624,0.8,1873.2992,-10.94,-0.58,0,10.52,0.56,-13.38,-0.71,-56.33,-0.06,20
68,Exit long,2024-06-05 22:00,MR TP1 | IN:MR | OUT:TREND,2353.96,0.2,466.3042,4.49,0.96,0,5.16,1.11,-0.43,-0.09,-51.85,-0.05,8
68,Entry long,2024-06-05 14:00,MR-L | IN:MR,2331.521,0.2,466.3042,4.49,0.96,0,5.16,1.11,-0.43,-0.09,-51.85,-0.05,8
69,Exit long,2024-06-07 14:00,RUN EXIT | IN:MR | OUT:MR,2373.501,0.8,1865.2168,33.58,1.80,0,44.95,2.41,-1.74,-0.09,-18.26,-0.02,46
69,Entry long,2024-06-05 14:00,MR-L | IN:MR,2331.521,0.8,1865.2168,33.58,1.80,0,44.95,2.41,-1.74,-0.09,-18.26,-0.02,46
70,Exit long,2024-06-12 14:00,MR TP1 | IN:MR | OUT:MR,2314.5,0.2,461.11,1.79,0.39,0,2.88,0.62,-1.67,-0.36,-16.47,-0.02,40
70,Entry long,2024-06-10 20:00,MR-L | IN:MR,2305.55,0.2,461.11,1.79,0.39,0,2.88,0.62,-1.67,-0.36,-16.47,-0.02,40
